size_m2,bedrooms,bathrooms,age,distance_city_center_km,floor,parking_spaces,has_elevator,neighborhood,property_type,condition,heating_type,price
114.9014246,1,1,43,1.585630664,7,0,1,C,house,good,electric,339242.2146
95.85207096,2,1,39,8.44614682,14,1,0,D,apartment,new,gas,275109.1321
119.4306561,1,2,29,5.084709013,17,1,0,B,studio,old,gas,365741.9224
145.6908957,4,3,13,11.76603899,10,1,0,B,studio,good,gas,478672.1242
92.97539876,3,1,9,6.6583421,1,1,0,D,studio,good,electric,280683.889
92.97589129,4,3,30,15.91932328,11,2,0,A,studio,good,none,306755.2314
147.3763845,5,3,35,13.08155816,19,1,0,A,house,good,gas,549400.7484
123.0230419,5,2,14,7.163145266,16,0,0,A,apartment,good,electric,498104.7926
85.91576842,5,1,29,9.676236245,18,2,1,A,studio,new,electric,366097.1934
116.2768013,3,2,47,11.96607909,8,2,1,A,house,new,gas,448319.7869
86.09746922,4,3,13,9.477199502,13,1,1,B,studio,new,gas,394018.3328
86.02810739,5,3,46,5.483422276,2,1,1,C,apartment,good,gas,302136.5628
107.2588681,4,3,22,8.28910006,19,0,0,C,apartment,old,gas,364645.9829
42.60159266,2,1,16,7.294602976,12,0,1,C,studio,old,electric,148068.0695
48.25246502,5,1,26,0,14,2,0,A,apartment,good,gas,283326.2576
83.13137412,5,1,43,14.12502129,18,2,1,D,studio,new,none,202968.3335
69.61506639,3,3,12,6.635939218,3,0,0,D,studio,old,none,193909.0451
109.42742,4,3,13,6.983538126,7,1,0,C,house,good,none,461159.1981
72.75927773,3,1,25,13.63116984,17,1,1,B,apartment,good,electric,262545.6537
57.63088896,3,3,42,11.21062246,13,0,0,A,apartment,new,electric,242933.2016
143.9694631,4,3,10,8.262734938,0,1,1,B,studio,old,electric,492082.7386
93.22671099,2,3,37,10.7042219,7,1,0,C,apartment,good,electric,277936.7969
102.0258461,4,1,0,7.4963099,7,1,1,D,house,good,gas,400020.3667
57.25755441,2,2,23,4.721927168,18,2,0,B,studio,new,gas,244986.7602
83.66851826,3,2,19,8.230109948,0,0,0,B,house,new,none,356571.4016
103.3276777,2,2,7,8.091550568,3,0,0,A,studio,good,electric,342239.2804
65.47019268,2,1,7,6.033653523,2,1,1,D,apartment,new,none,230657.356
111.2709406,2,3,29,2.943424305,17,0,1,D,house,new,electric,425163.6156
81.9808393,5,2,17,9.92874223,5,0,1,A,studio,good,electric,299471.5331
91.24918751,5,2,12,0,18,2,0,C,apartment,new,none,443643.3142
81.94880163,3,1,45,9.974006651,11,0,1,C,apartment,old,gas,208687.5443
155.5683455,4,3,46,7.996599948,17,0,0,D,house,new,electric,481391.4636
99.59508326,2,3,35,9.190782419,3,0,0,B,studio,good,none,245168.6174
68.26867213,5,1,18,10.47805398,7,1,1,B,apartment,new,none,339044.9162
124.6763474,4,2,12,13.15089003,18,1,0,B,apartment,new,gas,472013.9992
